district,soil_ph,rainfall_mm,temp_c,prev_yield,season,crop,yield_t
33,7.17,169.1,32.5,2.59,0,maize,3.04
30,5.2,464.0,36.9,3.75,2,wheat,4.58
37,5.95,112.3,31.2,3.75,2,soybean,3.61
23,6.62,186.1,21.9,1.7,1,maize,1.89
10,7.37,216.0,17.4,2.35,2,wheat,2.38
5,5.96,219.7,33.0,1.24,0,wheat,1.23
36,6.88,306.5,29.8,3.98,1,wheat,4.94
34,7.66,471.5,16.1,3.93,1,wheat,5.52
31,6.85,120.3,23.3,2.77,0,soybean,2.94
10,5.7,60.8,37.0,3.32,1,rice,3.33
19,5.07,98.7,26.5,3.0,1,rice,2.75
32,7.61,443.5,25.0,2.58,1,wheat,3.41
1,5.06,322.9,25.5,0.69,1,wheat,1.03
5,7.62,143.0,19.8,2.09,0,maize,2.34
45,6.59,408.0,23.5,2.86,0,wheat,3.79
4,7.82,430.7,23.5,2.87,1,wheat,3.62
16,7.4,423.3,16.2,1.81,1,wheat,2.15
24,7.99,459.5,32.7,3.8,0,wheat,4.86
16,6.05,126.1,24.6,1.09,0,maize,1.36
2,7.3,377.5,33.9,2.25,0,wheat,2.96
49,6.21,230.3,34.6,2.92,1,wheat,3.38
28,6.44,421.0,19.9,2.94,1,wheat,3.61
32,6.88,364.2,30.1,2.77,2,wheat,3.64
27,7.62,388.2,25.9,1.46,0,wheat,1.96
20,7.95,328.1,35.2,1.05,1,wheat,1.25
24,7.3,88.7,20.0,2.73,0,rice,3.31
12,6.25,272.5,30.6,2.6,1,wheat,2.88
50,6.26,492.3,29.0,1.13,0,wheat,1.18
35,7.21,468.7,21.8,2.97,1,wheat,4.47
33,5.72,21.6,18.1,2.09,2,rice,1.79
33,5.33,82.4,30.0,2.84,2,rice,2.78
43,6.06,65.9,32.0,3.43,0,rice,3.64
37,5.86,363.0,22.3,1.09,1,wheat,0.94
12,5.89,408.9,29.8,0.57,1,wheat,0.9
3,5.7,106.8,24.1,3.23,0,rice,3.18
1,5.13,252.9,31.4,2.63,1,wheat,2.54
33,5.05,420.4,19.6,2.95,0,wheat,3.1
40,7.96,366.4,35.5,3.43,1,wheat,4.45
10,6.28,271.1,21.6,3.31,0,wheat,4.1
43,6.15,295.2,23.5,3.86,1,wheat,4.11
44,7.04,254.2,16.3,2.38,0,wheat,3.42
29,5.65,148.8,17.6,2.21,1,maize,1.76
13,7.85,282.5,26.9,1.91,2,wheat,2.61
12,7.36,344.4,21.2,1.04,1,wheat,1.28
31,5.27,436.7,34.2,2.5,0,wheat,2.75
46,6.25,318.1,15.3,1.47,2,wheat,1.71
2,7.64,380.6,23.7,3.72,1,wheat,4.64
50,7.83,80.0,22.8,2.54,2,rice,3.21
35,6.4,230.8,15.4,2.57,1,wheat,2.91
23,6.84,4.7,17.9,1.74,2,rice,1.82
17,5.5,123.3,24.5,0.68,0,soybean,0.67
26,7.97,363.2,26.3,0.61,1,wheat,0.54
8,5.7,495.9,24.3,1.98,1,wheat,2.8
29,7.83,49.6,27.2,0.8,0,rice,0.53
26,6.95,200.7,28.7,2.62,2,maize,2.69
10,6.82,400.0,15.2,3.58,0,wheat,5.09
26,6.54,102.0,25.7,3.59,0,rice,4.11
34,5.69,277.5,37.2,2.81,2,wheat,3.11
41,5.53,366.5,26.9,1.24,0,wheat,1.69
7,5.66,308.0,30.6,3.52,1,wheat,4.03
4,5.56,94.0,22.2,3.6,1,rice,3.58
50,7.34,177.7,32.8,1.19,1,maize,1.63
45,6.05,391.9,32.8,3.08,0,wheat,3.65
11,5.17,277.1,27.0,1.5,1,wheat,1.46
29,7.91,2.6,37.4,3.31,1,groundnut,2.79
36,7.65,380.5,17.9,3.99,1,wheat,5.04
25,7.78,17.7,15.4,0.61,1,rice,0.4
21,7.98,372.9,32.7,3.64,1,wheat,4.07
36,5.52,101.2,33.6,2.68,1,rice,2.73
10,6.19,479.0,17.8,3.91,0,wheat,5.07
37,7.27,184.0,21.1,2.13,1,maize,2.57
9,7.09,163.5,15.4,3.47,1,maize,3.58
24,5.46,74.4,21.7,0.72,2,rice,0.64
35,7.45,152.8,32.8,1.67,0,maize,1.85
49,5.67,438.3,26.9,0.73,0,wheat,0.96
35,5.67,498.2,23.0,3.91,0,wheat,4.85
48,6.61,184.2,23.6,3.36,0,maize,3.28
36,6.78,224.3,15.0,3.48,1,wheat,4.87
18,6.74,361.0,21.9,3.78,1,wheat,5.05
49,5.27,443.1,29.9,0.8,2,wheat,1.12
39,7.63,296.5,37.4,1.85,2,wheat,2.01
32,5.8,195.8,34.5,0.75,0,maize,0.57
24,5.39,206.3,15.5,1.24,2,maize,1.5
23,7.67,347.8,35.7,1.3,2,wheat,1.88
32,7.87,1.6,33.0,2.14,0,groundnut,1.91
37,7.59,309.8,32.9,1.44,0,wheat,1.67
12,7.43,177.7,25.5,0.85,2,maize,0.81
49,6.97,397.1,24.2,1.09,1,wheat,1.38
13,6.65,46.5,22.0,1.02,2,rice,0.89
23,5.26,294.1,16.5,3.91,2,wheat,4.14
25,6.23,240.5,20.2,3.16,1,wheat,3.65
35,6.12,321.2,20.7,3.89,1,wheat,4.72
41,5.78,32.4,26.1,2.04,0,rice,1.9
30,7.17,290.0,32.2,1.47,0,wheat,1.91
17,6.49,280.7,25.9,3.29,2,wheat,3.86
49,5.24,280.3,16.3,1.64,1,wheat,1.49
20,5.66,301.7,37.0,1.55,0,wheat,2.01
48,7.05,338.2,36.7,1.31,2,wheat,1.77
25,5.23,402.5,33.1,0.95,1,wheat,1.14
22,7.55,134.9,37.8,1.4,2,maize,1.5
13,6.49,412.5,27.5,1.74,0,wheat,2.33
19,6.44,249.1,37.1,2.86,0,wheat,3.37
49,6.78,38.5,16.7,0.72,1,rice,0.58
36,7.47,29.3,23.4,1.24,2,rice,1.14
12,6.04,167.1,20.2,3.33,1,maize,2.89
41,7.03,392.4,19.5,1.01,0,wheat,1.52
19,6.7,353.8,18.2,1.7,0,wheat,2.23
12,5.8,394.3,29.3,3.53,2,wheat,4.0
9,7.64,258.6,33.0,1.04,2,wheat,1.32
7,7.39,220.1,28.3,0.79,2,wheat,1.03
28,6.98,73.7,18.4,2.2,1,rice,2.45
14,7.55,164.1,33.7,1.56,2,maize,1.52
31,7.6,217.0,29.6,2.47,2,wheat,2.89
19,7.13,44.3,23.9,3.31,0,rice,3.57
47,7.51,110.3,30.5,0.98,0,soybean,1.18
16,7.09,299.1,21.0,2.53,2,wheat,3.31
5,7.04,367.8,22.9,2.27,2,wheat,2.89
35,6.86,499.2,36.1,1.0,0,wheat,1.52
12,7.26,466.6,21.7,2.68,2,wheat,3.88
25,5.48,321.3,25.8,1.46,1,wheat,1.44
21,7.64,210.6,35.5,2.21,1,maize,2.11
36,7.62,318.1,31.3,0.79,1,wheat,0.76
23,5.09,392.8,16.4,2.11,2,wheat,2.15
16,7.48,59.2,18.4,1.57,0,rice,1.72
39,5.39,205.0,15.2,3.38,2,maize,2.82
45,6.01,419.9,29.5,0.7,2,wheat,0.57
42,7.23,191.9,25.3,1.97,0,maize,1.91
39,5.48,285.9,18.1,2.1,0,wheat,2.1
14,7.45,293.9,37.0,3.04,0,wheat,3.88
31,7.5,92.2,27.2,2.51,1,rice,2.95
5,6.52,181.1,20.6,2.84,2,maize,3.01
35,5.02,167.3,26.5,3.22,0,maize,2.4
23,5.86,13.1,30.6,3.52,2,groundnut,2.93
29,6.85,12.1,16.8,1.6,1,rice,1.26
43,7.94,415.8,21.3,2.38,1,wheat,3.06
11,6.9,136.5,33.6,3.44,0,maize,3.6
18,5.78,259.0,25.6,3.96,0,wheat,4.16
47,6.9,149.4,27.6,3.61,2,maize,3.75
12,6.62,470.3,25.0,1.8,0,wheat,2.22
9,7.34,129.6,16.0,1.18,2,maize,0.99
10,5.32,214.8,18.8,2.21,0,wheat,2.27
44,7.28,436.4,25.2,3.1,2,wheat,4.4
17,6.62,421.0,19.8,2.22,2,wheat,2.92
38,7.89,93.1,16.1,2.19,2,rice,2.5
7,6.03,401.3,34.4,3.43,2,wheat,4.25
46,6.9,229.1,37.6,1.76,1,wheat,2.04
13,7.8,241.5,33.2,3.51,2,wheat,3.89
40,5.31,66.7,34.6,1.92,0,rice,1.69
42,7.81,40.3,20.6,1.65,1,rice,1.46
9,7.06,364.0,37.1,2.09,1,wheat,3.08
50,5.2,248.2,19.5,3.17,2,wheat,2.95
27,5.9,218.4,36.9,0.94,1,wheat,0.82
2,7.12,364.8,37.9,1.19,2,wheat,1.29
5,5.2,382.8,31.4,3.83,0,wheat,3.58
29,6.75,79.5,37.6,1.11,2,rice,1.42
37,6.04,305.1,28.1,2.49,1,wheat,3.02
38,6.86,67.7,21.0,2.53,0,rice,3.16
19,5.14,375.7,25.1,2.21,2,wheat,2.3
8,7.61,328.5,28.7,2.76,0,wheat,3.32
48,7.92,478.3,16.7,1.3,0,wheat,1.6
45,7.91,34.5,29.3,2.43,1,rice,2.37
1,7.25,28.5,37.6,1.8,0,rice,2.2
22,5.39,141.1,19.4,2.82,1,maize,2.31
17,7.27,130.9,33.2,0.99,0,maize,1.05
7,5.07,123.5,35.9,2.5,2,soybean,2.15
25,5.07,453.1,36.7,1.15,0,wheat,1.53
45,5.97,124.8,37.1,1.48,2,soybean,1.14
4,6.47,136.0,27.0,1.27,2,maize,0.97
36,7.31,379.7,37.5,1.14,0,wheat,1.59
6,7.05,224.9,32.4,3.39,2,wheat,4.48
31,6.34,388.4,18.7,1.5,0,wheat,1.87
19,5.82,32.7,26.0,3.74,0,rice,3.45
44,7.99,243.8,31.5,3.89,2,wheat,4.44
39,6.28,16.8,20.7,2.5,2,rice,2.61
27,6.35,31.3,29.7,1.0,1,rice,1.3
10,5.49,453.2,30.3,1.81,2,wheat,1.88
26,7.38,69.6,18.7,3.29,1,rice,3.93
19,7.08,266.2,28.0,1.79,2,wheat,1.93
39,5.66,205.5,32.7,0.8,0,maize,0.66
3,5.25,173.7,26.5,2.45,2,maize,2.1
45,7.04,449.9,15.3,3.46,0,wheat,5.03
13,6.96,10.9,15.2,3.29,0,rice,3.85
50,5.82,331.9,23.2,1.11,0,wheat,0.9
28,7.85,481.7,36.3,2.85,1,wheat,3.8
20,5.45,280.1,20.3,1.27,2,wheat,1.55
28,6.3,468.4,29.6,1.26,0,wheat,1.7
8,7.83,26.1,20.1,3.56,0,rice,3.37
41,6.26,209.4,22.4,1.37,1,maize,1.55
39,6.92,130.1,34.5,1.42,2,maize,1.3
1,6.19,365.4,31.8,0.5,2,wheat,0.45
3,5.82,490.6,17.2,3.55,1,wheat,4.32
13,7.95,128.3,24.9,3.27,1,maize,2.89
28,6.23,327.1,15.7,2.7,2,wheat,3.27
49,7.68,99.0,26.1,3.13,1,rice,3.21
25,5.69,282.7,30.2,1.03,2,wheat,0.89
33,5.64,232.0,17.7,2.1,2,wheat,2.01
38,5.09,486.0,21.6,1.73,0,wheat,1.77
6,6.96,304.3,24.2,0.83,0,wheat,1.08
44,6.11,174.8,36.1,2.2,2,maize,2.14
45,7.59,57.0,37.8,3.72,2,rice,4.05
32,6.42,75.6,16.0,0.64,2,rice,0.75
45,7.9,112.7,32.5,1.52,2,soybean,1.91
47,5.56,125.5,23.5,1.23,2,soybean,1.28
21,7.61,425.3,24.0,1.33,2,wheat,1.91
16,7.33,280.6,32.3,3.68,1,wheat,4.44
21,7.31,261.7,36.1,2.14,2,wheat,2.78
11,7.53,57.4,36.9,2.13,1,rice,2.22
37,7.28,430.1,28.3,3.16,1,wheat,4.44
36,6.88,361.4,23.2,1.04,2,wheat,1.12
35,5.39,33.8,33.1,2.21,2,rice,2.04
19,5.1,353.9,20.8,2.0,1,wheat,1.87
20,7.76,271.8,28.0,2.59,1,wheat,3.17
18,6.85,40.9,23.2,4.0,2,rice,4.67
47,7.39,229.2,30.1,3.19,2,wheat,3.64
41,6.44,242.3,20.5,1.89,1,wheat,2.59
49,5.35,82.9,19.4,3.4,1,rice,3.16
14,5.38,472.8,36.1,1.1,1,wheat,0.97
15,7.06,425.0,17.3,0.61,0,wheat,0.71
31,6.29,334.5,26.6,1.22,1,wheat,1.27
1,5.6,231.1,20.1,1.69,0,wheat,1.79
3,6.47,205.9,15.9,2.29,2,maize,2.07
16,5.19,325.5,15.8,2.65,2,wheat,2.61
23,6.75,272.7,19.0,3.69,1,wheat,4.61
11,5.81,31.1,34.9,2.28,2,rice,2.23
12,7.39,256.3,21.5,2.25,2,wheat,2.69
10,5.93,403.2,36.9,0.68,2,wheat,0.85
32,6.37,229.6,28.4,0.62,2,wheat,0.63
16,5.03,26.0,25.0,2.43,0,rice,1.75
8,5.22,393.1,28.3,2.03,0,wheat,2.12
38,6.18,100.7,26.9,3.44,1,rice,3.83
12,6.44,129.3,32.5,1.06,1,maize,0.97
24,6.8,82.4,21.5,0.59,1,rice,0.76
28,5.87,165.1,23.1,2.07,2,maize,1.75
8,7.08,378.4,35.6,1.33,2,wheat,2.01
28,7.58,259.7,36.8,0.67,0,wheat,0.27
36,7.34,102.4,35.5,3.04,0,rice,3.56
26,5.12,438.9,24.6,0.89,1,wheat,1.25
8,6.44,439.8,32.9,2.63,0,wheat,3.82
50,5.31,435.3,26.0,1.48,0,wheat,1.63
28,5.73,119.4,26.4,1.11,0,soybean,0.83
28,7.96,225.6,19.7,1.83,0,wheat,2.25
37,5.43,492.5,28.6,3.31,0,wheat,3.96
41,6.5,386.0,19.3,1.87,1,wheat,2.4
36,6.85,13.6,22.6,3.13,1,rice,3.25
27,7.11,32.6,34.7,0.94,0,rice,0.8
17,6.68,232.0,19.8,3.2,1,wheat,3.9
9,5.03,454.6,16.6,1.33,2,wheat,1.59
33,5.98,269.4,16.6,2.87,0,wheat,3.22
20,6.55,248.9,36.6,2.48,2,wheat,2.77
13,5.26,52.7,26.7,3.75,1,rice,3.18
28,6.05,328.4,24.4,1.86,1,wheat,1.89
48,5.1,411.1,33.7,0.73,2,wheat,0.67
29,5.24,190.2,34.2,0.57,1,maize,0.28
13,6.19,387.8,22.6,3.39,0,wheat,3.89
46,5.4,482.2,31.0,2.34,2,wheat,2.9
35,6.7,101.9,32.7,3.21,0,rice,3.48
6,7.07,261.7,30.1,1.32,2,wheat,1.85
18,7.4,143.6,18.5,1.71,1,maize,1.75
5,5.6,396.4,35.1,0.61,2,wheat,0.76
47,5.5,288.8,27.4,3.87,2,wheat,4.39
25,5.31,317.3,21.5,2.84,0,wheat,2.69
2,6.91,399.0,24.8,3.77,1,wheat,5.39
10,7.12,198.0,15.9,1.43,0,maize,1.46
30,5.09,457.5,17.9,2.64,1,wheat,3.44
50,7.81,266.5,32.6,2.87,0,wheat,3.19
45,5.16,79.0,15.0,1.61,2,rice,1.36
5,6.62,347.9,24.6,3.47,0,wheat,4.54
33,7.13,396.6,27.0,3.82,1,wheat,5.21
1,7.61,158.4,16.3,3.6,1,maize,3.32
18,7.14,428.6,37.4,3.09,2,wheat,4.14
32,7.41,453.1,20.2,1.47,1,wheat,2.32
47,6.02,138.5,22.0,1.49,0,maize,1.11
49,7.44,491.8,22.0,3.87,2,wheat,5.5
11,5.24,70.4,20.3,0.54,1,rice,0.71
21,7.68,101.0,15.0,3.01,1,rice,3.56
26,6.64,92.1,31.8,2.97,0,rice,3.29
25,7.45,447.0,37.2,2.68,0,wheat,3.62
22,6.36,327.1,20.2,3.97,2,wheat,4.77
27,6.93,76.1,30.3,1.59,1,rice,1.56
49,6.58,220.2,32.1,1.69,0,wheat,2.06
13,7.19,307.6,34.5,0.78,2,wheat,1.0
33,5.24,41.7,24.7,2.05,1,rice,2.12
34,5.18,441.2,22.0,1.41,1,wheat,1.41
41,5.74,401.8,22.5,1.7,2,wheat,2.23
35,5.48,252.6,31.4,3.42,2,wheat,3.7
1,7.62,483.6,33.8,3.77,0,wheat,5.17
21,5.66,208.9,19.2,1.15,1,maize,0.61
48,7.93,492.1,23.5,1.8,1,wheat,2.27
6,6.01,334.0,35.7,3.75,1,wheat,4.74
28,5.55,317.3,33.6,0.72,2,wheat,0.84
17,7.37,83.0,37.7,0.82,0,rice,1.07
5,6.98,441.0,32.3,1.07,1,wheat,1.52
31,6.49,213.7,24.0,2.58,2,wheat,2.89
5,6.67,81.1,28.6,1.03,1,rice,0.8
38,7.16,6.3,30.2,3.89,0,rice,4.38
3,5.69,279.9,16.8,2.06,1,wheat,2.42
